label,class_name,support,correct,accuracy
0,1111,24,24,1.0
1,1113,24,22,0.9166666666666666
2,1118,24,21,0.875
3,1131,24,24,1.0
4,1133,24,21,0.875
5,1138,24,21,0.875
6,1181,24,23,0.9583333333333334
7,1183,24,20,0.8333333333333334
8,1188,24,21,0.875
9,1311,24,22,0.9166666666666666
10,1313,24,21,0.875
11,1318,24,21,0.875
12,1331,24,22,0.9166666666666666
13,1333,24,21,0.875
14,1338,24,19,0.7916666666666666
15,1381,24,21,0.875
16,1383,24,20,0.8333333333333334
17,1388,24,19,0.7916666666666666
18,1811,24,22,0.9166666666666666
19,1813,24,20,0.8333333333333334
20,1818,24,22,0.9166666666666666
21,1831,24,21,0.875
22,1833,24,18,0.75
23,1838,24,20,0.8333333333333334
24,1881,24,22,0.9166666666666666
25,1883,24,19,0.7916666666666666
26,1888,24,20,0.8333333333333334
27,3111,24,24,1.0
28,3113,24,22,0.9166666666666666
29,3118,24,22,0.9166666666666666
30,3131,24,24,1.0
31,3133,24,21,0.875
32,3138,24,21,0.875
33,3181,24,23,0.9583333333333334
34,3183,24,19,0.7916666666666666
35,3188,24,21,0.875
36,3311,24,23,0.9583333333333334
37,3313,24,21,0.875
38,3318,24,20,0.8333333333333334
39,3331,24,22,0.9166666666666666
40,3333,24,21,0.875
41,3338,24,19,0.7916666666666666
42,3381,24,21,0.875
43,3383,24,20,0.8333333333333334
44,3388,24,19,0.7916666666666666
45,3811,24,22,0.9166666666666666
46,3813,24,20,0.8333333333333334
47,3818,24,21,0.875
48,3831,24,20,0.8333333333333334
49,3833,24,19,0.7916666666666666
50,3838,24,20,0.8333333333333334
51,3881,24,22,0.9166666666666666
52,3883,24,20,0.8333333333333334
53,3888,24,21,0.875
54,8111,24,23,0.9583333333333334
55,8113,24,21,0.875
56,8118,24,22,0.9166666666666666
57,8131,24,23,0.9583333333333334
58,8133,24,19,0.7916666666666666
59,8138,24,20,0.8333333333333334
60,8181,24,23,0.9583333333333334
61,8183,24,20,0.8333333333333334
62,8188,24,21,0.875
63,8311,24,21,0.875
64,8313,24,19,0.7916666666666666
65,8318,24,19,0.7916666666666666
66,8331,24,21,0.875
67,8333,24,20,0.8333333333333334
68,8338,24,19,0.7916666666666666
69,8381,24,21,0.875
70,8383,24,20,0.8333333333333334
71,8388,24,19,0.7916666666666666
72,8811,24,20,0.8333333333333334
73,8813,24,20,0.8333333333333334
74,8818,24,21,0.875
75,8831,24,21,0.875
76,8833,24,20,0.8333333333333334
77,8838,24,20,0.8333333333333334
78,8881,24,21,0.875
79,8883,24,19,0.7916666666666666
80,8888,24,21,0.875
