count,true_label,pred_label,true_class,pred_class
2,76,72,8833,8811
2,71,62,8388,8188
2,70,60,8383,8181
2,68,56,8338,8118
1,80,0,8888,1111
1,79,78,8883,8881
1,79,1,8883,1113
1,78,2,8881,1118
1,77,74,8838,8818
1,77,3,8838,1131
1,76,4,8833,1133
1,75,5,8831,1138
1,74,6,8818,1181
1,73,7,8813,1183
1,72,8,8811,1188
1,71,9,8388,1311
1,70,10,8383,1313
1,69,11,8381,1318
1,68,12,8338,1331
1,67,54,8333,8111
1,67,13,8333,1333
1,66,14,8331,1338
1,62,18,8188,1811
1,61,19,8183,1813
1,60,20,8181,1818
1,58,22,8133,1833
1,57,23,8131,1838
1,56,28,8118,3113
1,55,28,8113,3113
1,54,27,8111,3111
1,53,27,3888,3111
1,51,29,3881,3118
1,50,30,3838,3131
1,50,20,3838,1818
1,49,18,3833,1811
1,44,36,3388,3311
1,44,8,3388,1188
1,43,6,3383,1181
1,41,2,3338,1118
1,40,0,3333,1111
1,26,13,1888,1333
1,20,10,1818,1313
1,18,9,1811,1311
1,8,4,1188,1133
1,1,2,1113,1118
